UID          PID    PPID  C STIME TTY          TIME CMD
annelee+    3254    3148  0 09:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 235637 -jsInitLen 279340 -parentBuildID 20220106144528 -appDir /usr/lib/firefox/browser 3148 tab
annelee+    3279    3148  0 09:40 ?        00:00:04 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 119 -prefMapSize 235637 -jsInitLen 279340 -parentBuildID 20220106144528 -appDir /usr/lib/firefox/browser 3148 tab
annelee+    3315    3148  0 09:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 1198 -prefMapSize 235637 -jsInitLen 279340 -parentBuildID 20220106144528 -appDir /usr/lib/firefox/browser 3148 tab
annelee+    3419    3148  0 09:40 ?        00:00:02 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 8851 -prefMapSize 235637 -jsInitLen 279340 -parentBuildID 20220106144528 -appDir /usr/lib/firefox/browser 3148 tab
annelee+    3545    3148  0 09:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 10359 -prefMapSize 235637 -jsInitLen 279340 -parentBuildID 20220106144528 -appDir /usr/lib/firefox/browser 3148 tab
annelee+    3566    3148  0 09:41 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20220106144528 -prefsLen 12913 -prefMapSize 235637 -appDir /usr/lib/firefox/browser 3148 socket
root        4296       2  0 09:52 ?        00:00:00 [kworker/4:3-events]
root        4376       2  0 10:15 ?        00:00:02 [kworker/3:0-mm_percpu_wq]
root        4490       2  0 11:15 ?        00:00:01 [kworker/1:0-mm_percpu_wq]
root        4540       2  0 11:33 ?        00:00:00 [kworker/0:0-events]
root        4541       2  0 11:33 ?        00:00:02 [kworker/5:0-events]
root        4552       2  0 11:38 ?        00:00:01 [kworker/2:2-events]
root        4828       2  0 14:22 ?        00:00:00 [kworker/u12:1-events_unbound]
root        4857       2  0 14:40 ?        00:00:00 [kworker/u12:0-events_unbound]
root        4910       1  0 14:53 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        4935       2  0 14:53 ?        00:00:00 [kworker/3:1-events]
root        5394       2  0 14:53 ?        00:00:00 [kworker/1:1-events]
root        6408       2  0 14:54 ?        00:00:00 [kworker/4:0-events]
root        6448       2  0 14:54 ?        00:00:00 [kworker/5:1-events]
root        6768       2  0 14:56 ?        00:00:00 [kworker/u12:2-events_power_efficient]
root        6874       2  0 14:58 ?        00:00:00 [kworker/5:3-events]
root        7447       2  0 15:03 ?        00:00:00 [kworker/1:2-events]
annelee+    7449    2509  0 15:04 pts/0    00:00:00 ps -ef
